txn_id,date,merchant,amount,currency,status,category,account_id,notes
TXN001,13-01-2024,Swiggy,450.00,INR,SUCCESS,Food,ACC001,
TXN002,2024/01/14,Amazon India,890.00,INR,success,Shopping,ACC001,
TXN003,2024/01/15,Zomato,620.00,INR,SUCCESS,,ACC001,
TXN004,15-01-2024,Ola,380.00,inr,SUCCESS,Transport,ACC001,
TXN005,2024/01/17,Netflix,599.00,INR,success,Entertainment,ACC001,
TXN006,18-01-2024,Blinkit,520.00,INR,SUCCESS,Food,ACC001,
TXN007,2024/01/20,Jio Recharge,239.00,INR,SUCCESS,Utilities,ACC001,
TXN008,21-01-2024,Airtel,399.00,inr,SUCCESS,Utilities,ACC001,
TXN009,2024/01/23,Swiggy,480.00,INR,SUCCESS,Food,ACC001,
TXN010,24-01-2024,Rapido,180.00,INR,SUCCESS,Transport,ACC001,
TXN011,2024/01/25,Zomato,720.00,INR,SUCCESS,,ACC001,
TXN012,25-01-2024,Swiggy,45000.00,INR,SUCCESS,,ACC001,SUSPICIOUS
TXN013,2024/01/27,Flipkart,$2200.00,INR,SUCCESS,Shopping,ACC001,
TXN014,28-01-2024,GitHub,840.00,INR,SUCCESS,,ACC001,
TXN015,2024/01/30,BigBasket,1150.00,INR,SUCCESS,Shopping,ACC001,
TXN016,31-01-2024,Myntra,1800.00,INR,SUCCESS,Shopping,ACC001,
TXN017,2024/02/02,Swiggy,510.00,INR,SUCCESS,Food,ACC001,
TXN018,03-02-2024,IRCTC,1200.00,USD,SUCCESS,Travel,ACC001,SUSPICIOUS
TXN019,2024/02/05,Amazon India,750.00,INR,SUCCESS,Shopping,ACC001,
TXN020,07-02-2024,Blinkit,620.00,INR,SUCCESS,Food,ACC001,
TXN021,2024/01/14,Ola,350.00,INR,SUCCESS,Transport,ACC002,
TXN022,2024/01/16,Netflix,599.00,INR,success,Entertainment,ACC002,
TXN023,17-01-2024,Swiggy,520.00,INR,FAILED,,ACC002,
TXN024,2024/01/18,Rapido,210.00,INR,SUCCESS,Transport,ACC002,
TXN025,19-01-2024,ATM Withdrawal,28000.00,INR,SUCCESS,Cash Withdrawal,ACC002,SUSPICIOUS
TXN026,2024/01/21,Amazon India,680.00,INR,SUCCESS,,ACC002,
TXN027,22-01-2024,Jio Recharge,239.00,INR,SUCCESS,Utilities,ACC002,
TXN028,2024/01/24,Zomato,750.00,INR,SUCCESS,Food,ACC002,
TXN029,25-01-2024,Airtel,399.00,INR,SUCCESS,Utilities,ACC002,
TXN030,2024/01/27,BigBasket,890.00,INR,SUCCESS,Shopping,ACC002,
TXN031,29-01-2024,Flipkart,1100.00,INR,SUCCESS,Shopping,ACC002,
TXN032,2024/01/31,Ola,420.00,INR,SUCCESS,Transport,ACC002,
TXN033,01-02-2024,Swiggy,490.00,INR,SUCCESS,Food,ACC002,
TXN034,2024/02/03,Myntra,1650.00,INR,SUCCESS,,ACC002,
TXN035,04-02-2024,Uber,320.00,USD,SUCCESS,Transport,ACC002,
TXN036,2024/02/06,Spotify,169.00,INR,success,,ACC002,
TXN037,08-02-2024,Flipkart,9800.00,INR,SUCCESS,Shopping,ACC002,Duplicate?
TXN037,08-02-2024,Flipkart,9800.00,INR,SUCCESS,Shopping,ACC002,Duplicate?
TXN039,2024/02/10,ATM Withdrawal,5000.00,INR,SUCCESS,Cash Withdrawal,ACC002,
TXN040,11-02-2024,Zomato,680.00,INR,SUCCESS,Food,ACC002,
TXN041,16-01-2024,IRCTC,1400.00,INR,SUCCESS,Travel,ACC003,
TXN042,2024/01/18,Swiggy,450.00,USD,SUCCESS,Food,ACC003,SUSPICIOUS
TXN043,19-01-2024,Myntra,780.00,INR,SUCCESS,Shopping,ACC003,
TXN044,2024/01/21,Rapido,195.00,INR,SUCCESS,Transport,ACC003,
TXN045,22-01-2024,Zomato,640.00,INR,SUCCESS,,ACC003,
TXN046,2024/01/24,Ola,380.00,INR,SUCCESS,Transport,ACC003,
TXN047,25-01-2024,Blinkit,520.00,INR,SUCCESS,Food,ACC003,
TXN048,2024/01/27,IRCTC,850.00,USD,SUCCESS,Travel,ACC003,SUSPICIOUS
TXN049,28-01-2024,Swiggy,490.00,INR,SUCCESS,Food,ACC003,
TXN050,2024/01/30,Amazon India,720.00,INR,SUCCESS,,ACC003,
TXN051,31-01-2024,Ola,42000.00,INR,SUCCESS,Transport,ACC003,SUSPICIOUS
TXN052,2024/02/02,Jio Recharge,239.00,INR,success,Utilities,ACC003,
TXN053,03-02-2024,BigBasket,1200.00,INR,SUCCESS,Shopping,ACC003,
TXN054,2024/02/05,Airtel,399.00,INR,SUCCESS,Utilities,ACC003,
TXN055,06-02-2024,Myntra,1900.00,INR,SUCCESS,,ACC003,
TXN056,2024/02/08,GitHub,840.00,INR,SUCCESS,,ACC003,
TXN057,09-02-2024,IRCTC,2800.00,INR,SUCCESS,Travel,ACC003,
TXN058,2024/02/11,Coursera,$1299.00,INR,SUCCESS,,ACC003,
TXN059,12-02-2024,Netflix,599.00,INR,PENDING,,ACC003,
,13-01-2024,BigBasket,1650.00,INR,SUCCESS,Shopping,ACC004,
TXN061,2024/01/15,Swiggy,420.00,INR,SUCCESS,Food,ACC004,
TXN062,16-01-2024,Rapido,160.00,INR,SUCCESS,Transport,ACC004,
TXN063,2024/01/18,Flipkart,$3200.00,INR,SUCCESS,Shopping,ACC004,
TXN064,19-01-2024,ATM Withdrawal,8000.00,INR,SUCCESS,Cash Withdrawal,ACC004,Duplicate?
TXN064,19-01-2024,ATM Withdrawal,8000.00,INR,SUCCESS,Cash Withdrawal,ACC004,Duplicate?
TXN066,2024/01/22,Jio Recharge,239.00,INR,SUCCESS,Utilities,ACC004,
TXN067,23-01-2024,Myntra,1100.00,INR,SUCCESS,,ACC004,
TXN068,2024/01/25,BigBasket,890.00,INR,SUCCESS,Shopping,ACC004,
TXN069,26-01-2024,Ola,360.00,INR,SUCCESS,Transport,ACC004,
TXN070,2024/01/28,Airtel,399.00,INR,SUCCESS,Utilities,ACC004,
TXN071,29-01-2024,Swiggy,480.00,INR,SUCCESS,Food,ACC004,
TXN072,2024/01/31,Nykaa,2400.00,INR,SUCCESS,Shopping,ACC004,
TXN073,01-02-2024,PhonePe Transfer,32000.00,INR,SUCCESS,,ACC004,SUSPICIOUS
TXN074,2024/02/03,Zomato,590.00,INR,SUCCESS,Food,ACC004,
TXN075,04-02-2024,Amazon India,780.00,INR,SUCCESS,,ACC004,
TXN076,2024/02/06,Blinkit,450.00,INR,SUCCESS,Food,ACC004,
TXN077,07-02-2024,Spotify,169.00,INR,success,,ACC004,
TXN078,2024/02/09,Coursera,1299.00,INR,SUCCESS,,ACC004,
,10-02-2024,Rapido,185.00,INR,SUCCESS,Transport,ACC005,
TXN080,2024/02/11,GitHub,840.00,INR,SUCCESS,,ACC005,
TXN081,12-02-2024,Netflix,599.00,INR,SUCCESS,Entertainment,ACC005,
TXN082,2024/02/14,Uber,380.00,USD,SUCCESS,Transport,ACC005,
TXN083,15-02-2024,Spotify,169.00,INR,SUCCESS,,ACC005,
TXN084,2024/02/17,Amazon India,$950.00,INR,SUCCESS,Shopping,ACC005,
TXN085,18-02-2024,Blinkit,520.00,INR,SUCCESS,Food,ACC005,
TXN086,2024/02/20,PhonePe Transfer,1000.00,INR,SUCCESS,,ACC005,
TXN087,21-02-2024,Jio Recharge,239.00,INR,SUCCESS,Utilities,ACC005,
TXN088,2024/02/23,Coursera,1299.00,INR,SUCCESS,,ACC005,
TXN089,24-02-2024,Airtel,399.00,INR,SUCCESS,Utilities,ACC005,
TXN090,2024/02/26,Swiggy,460.00,INR,SUCCESS,Food,ACC005,
TXN091,2024/02/28,ATM Withdrawal,$2500.00,INR,SUCCESS,Cash Withdrawal,ACC005,
